Search_method Problem Max_evals Run Score
hill_climber_cliff_score knapPI_13_20_1000_4 10000 44 907N
hill_climber_cliff_score knapPI_13_20_1000_4 10000 45 907N
hill_climber_cliff_score knapPI_13_20_1000_4 10000 46 907N
hill_climber_cliff_score knapPI_13_20_1000_4 10000 47 907N
hill_climber_cliff_score knapPI_13_20_1000_4 10000 48 907N
hill_climber_cliff_score knapPI_13_20_1000_4 10000 49 890N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 0 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 1 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 2 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 3 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 4 2593N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 5 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 6 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 7 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 8 2557N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 9 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 10 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 11 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 12 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 13 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 14 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 15 2886N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 16 0
hill_climber_cliff_score knapPI_16_20_1000_4 10000 17 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 18 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 19 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 20 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 21 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 22 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 23 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 24 2557N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 25 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 26 2893N
hill_climber_cliff_score knapPI_16_20_1000_4 10000 27 2893N
